Well,SampleIndex/'Well',PetID,PetName,Origin,CollectionDate,VialID,SampleType,LabelColor,Symptomatic,ExtractDate,TotalDNA,TotalRNA,LibraryPrepStartDate,SubmittedForSequencingDate,SentToCornellDate,AdoptedDate,Notes1,Notes2,Notes3
21,21,195347,Roscoe/Shasta,OHS,10/25/16,SMB-1610-217,nasal,orange,Y,12/6/17,0.0281,not detected,2/8/18,2/14/18,2/6/18,,Kennel cough,"DUFR; being treated for skin/ears 10/25, 11/1",
22,22,195347,Roscoe/Shasta,OHS,10/25/16,SMB-1610-218,nasal,orange,Y,12/6/17,0.402,1.45,2/8/18,2/14/18,2/6/18,,Kennel cough,"DUFR; being treated for skin/ears 10/25, 11/1",
23,23,195346,Vera,OHS?,10/25/16,SMB-1610-219,nasal,orange,N,12/6/17,0.012,not detected,2/8/18,2/14/18,2/6/18,29/10/16,housed with Osborne (who has KC),,
24,24,195346,Vera,OHS?,10/25/16,SMB-1610-220,nasal,orange,N,12/6/17,0.017,not detected,2/8/18,2/14/18,2/6/18,29/10/16,housed with Osborne (who has KC),,
25,25,195353,Blue/Osborne,OHS?,10/25/16,SMB-1610-221,nasal,orange,Y,12/6/17,1.23,not detected,2/8/18,2/14/18,2/6/18,,Kennel cough,Adopted as of 28/10/16; Same number for Blue/Osborne? Same dog?? Also see 195360,
26,26,195353,Blue/Osborne,OHS?,10/25/16,SMB-1610-222,nasal,orange,Y,12/6/17,1.18,not detected,2/8/18,2/14/18,2/6/18,,Kennel cough,Adopted as of 28/10/16; Same number for Blue/Osborne? Same dog?? Also see 195360,
27,27,195352,Bismark,OHS?,10/25/16,SMB-1610-224,nasal,orange,N,12/6/17,4.21,0.705,2/8/18,2/14/18,2/6/18,28/10/16,,,
28,28,195352,Bismark,OHS?,10/25/16,SMB-1610-225,nasal,orange,N,12/6/17,1.63,0.42,2/8/18,2/14/18,2/6/18,28/10/16,,,
29,29,195356,Michelle,OHS?,10/25/16,SMB-1610-226,nasal,orange,N,12/6/17,0.0028,not detected,2/8/18,2/14/18,2/6/18,26/10/16,,Adopted as of 28/10/16,
30,30,195310,Griffith,OHS?,10/21/16,SMB-1610-55,nasal,orange,N,12/6/17,0.0689,not detected,2/8/18,2/14/18,2/6/18,22/10/16,,,
31,31,195667,Emile,Merced,10/25/16,SMB-1610-241,nasal,orange,Y,12/6/17,0.0638,not detected,2/8/18,2/14/18,2/6/18,,Kennel cough,,
32,32,195631,Bruce,Oakland,10/25/16,SMB-1610-242,nasal,orange,N,12/6/17,3.74,0.876,2/8/18,2/14/18,2/6/18,28/10/16,,,use for next extraction?
33,33,195649,Wylie,Hayward,10/25/16,SMB-1610-243,nasal,orange,N,12/6/17,not detected,not detected,2/8/18,2/14/18,2/6/18,28/10/16,,,
34,34,195632,Clint,Oakland,10/25/16,SMB-1610-244,nasal,orange,N,12/6/17,not detected,not detected,2/8/18,2/14/18,2/6/18,27/10/16,,Adopted as of 28/10/16,
35,35,195659,Kirstie Alley,Merced,10/25/16,SMB-1610-245,nasal,orange,N,12/6/17,1.07,not detected,2/8/18,2/14/18,2/6/18,29/10/16,,,
36,36,195637,KoKo,Oakland,10/25/16,SMB-1610-246,nasal,orange,N,12/6/17,2.48,0.506,2/8/18,2/14/18,2/6/18,,,Adopted as of 28/10/16,
37,37,195666,Ingrid,Merced,10/25/16,SMB-1610-247,nasal,orange,N,12/6/17,not detected,not detected,2/8/18,2/14/18,2/6/18,27/10/16,,Adopted as of 28/10/16,
38,38,195671,Andre/Rocky,Merced,10/25/16,SMB-1610-248,nasal,orange,N,12/6/17,not detected,not detected,2/8/18,2/14/18,2/6/18,28/10/16,,Adopted as of 28/10/16,
39,39,195653,Harry,Sacramento,10/25/16,SMB-1610-249,nasal,orange,N,12/6/17,0.161,not detected,2/8/18,2/14/18,2/6/18,29/10/16,,,
40,40,195661,Julian/Julie,Merced,10/25/16,SMB-1610-250,nasal,orange,N,12/6/17,not detected,not detected,2/8/18,2/14/18,2/6/18,31/10/16,,,
41,41,195629,Adam,Oakland,10/25/16,SMB-1610-256,nasal,orange,N,12/7/17,not detected,not detected,2/8/18,2/14/18,2/6/18,30/10/16,,,
42,42,195651,Chico,Sacramento,10/25/16,SMB-1610-257,nasal,orange,N,12/7/17,0.104,not detected,2/8/18,2/14/18,2/6/18,31/10/16,,,
43,43,195634,Nala,Oakland,10/25/16,SMB-1610-258,nasal,orange,Y,12/7/17,6.62,1.81,2/8/18,2/14/18,2/6/18,30/10/16,sneezing,,
44,44,195630,Lace/Lance,Oakland,10/25/16,SMB-1610-259,nasal,orange,Y,12/7/17,0.0358,not detected,2/8/18,2/14/18,2/6/18,30/10/16,sneezing,,
45,45,195669,Abigail2,Merced,10/25/16,SMB-1610-260,nasal,orange,N,12/7/17,0.163,0.742,2/8/18,2/14/18,2/6/18,29/10/16,See Abigail 1: 195351,,
46,46,195636,Lyza,Oakland,10/25/16,SMB-1610-261,nasal,orange,N,12/7/17,not detected,not detected,2/8/18,2/14/18,2/6/18,,,,
47,47,195673,Victoria,Merced,10/25/16,SMB-1610-262,nasal,orange,N,12/7/17,not detected,not detected,2/8/18,2/14/18,2/6/18,30/10/16,,,
48,48,195660,Buster,Merced,10/25/16,SMB-1610-263,nasal,orange,Y,12/7/17,0.154,0.48,2/8/18,2/14/18,2/6/18,,Kennel cough,"No documentation on board, but may have arrived with KC",
49,49,195648,Guapa,Hayward,10/25/16,SMB-1610-264,nasal,orange,N,12/7/17,not detected,not detected,2/8/18,2/14/18,2/6/18,,,,
50,50,195656,Freda,Sacramento,10/25/16,SMB-1610-265,nasal,orange,N,12/7/17,not detected,not detected,2/8/18,2/14/18,2/6/18,,,,
51,51,195227,Mikey,OHS,10/18/16,SMB-1610-2,nasal,orange,N,1/17/18,0.043,not detected,2/8/18,2/14/18,2/6/18,20/10/16,,,
52,52,195309,Freddy,OHS?,10/21/16,SMB-1610-54,nasal,orange,N,1/17/18,0.05,not detected,2/8/18,2/14/18,2/6/18,23/10/16,,,
53,53,195668,Carla/Calla,Merced,10/25/16,SMB-1610-236,nasal,orange,N,1/17/18,not detected,not detected,2/8/18,2/14/18,2/6/18,,,,
54,54,195635,Sally,Oakland,10/25/16,SMB-1610-237,nasal,orange,Y,1/17/18,6.02,1.35,2/8/18,2/14/18,2/6/18,,coughing,,
55,55,195650,Ida Mae,Sacramento,10/25/16,SMB-1610-238,nasal,orange,N,1/17/18,0.0462,not detected,2/8/18,2/14/18,2/6/18,29/10/16,,,
56,56,195646,Quiggly,Hayward,10/25/16,SMB-1610-239,nasal,orange,Y,1/17/18,0.145,not detected,2/8/18,2/14/18,2/6/18,,Kennel cough,,
57,57,195670,Kendrick,Merced,10/25/16,SMB-1610-240,nasal,orange,N,1/17/18,0.162,0.844,2/8/18,2/14/18,2/6/18,28/10/16,,,
58,58,195663,Malik,Merced,10/25/16,SMB-1610-251,nasal,orange,N,1/17/18,1.03,0.584,2/8/18,2/14/18,2/6/18,30/10/16,,,
59,59,195633,,Oakland,10/25/16,SMB-1610-253,nasal,orange,N,1/17/18,3.72,0.81,2/8/18,2/14/18,2/6/18,,,Adopted as of 28/10/16,
60,60,195664,Nico/Dusty,Merced,10/25/16,SMB-1610-254,nasal,orange,N,1/17/18,0.0224,not detected,2/8/18,2/14/18,2/6/18,28/10/16,,,
61,61,195351,Abigail1,Madera,10/18/16,SMB-1610-28,nasal,orange,N,1/18/18,0.894,0.56,2/8/18,2/14/18,2/6/18,22/10/16,See Abigail 2: 195669,,
62,62,195332,Baxter,Fresno,10/18/16,SMB-1610-29,nasal,orange,N,1/18/18,0.14,0.542,2/8/18,2/14/18,2/6/18,23/10/16,,,
63,63,195347,Roscoe/Shasta,Madera,10/18/16,SMB-1610-30,nasal,orange,N,1/18/18,8.5,1.86,2/8/18,2/14/18,2/6/18,,,DUFR,
64,64,195346,Vera,Madera,10/18/16,SMB-1610-31,nasal,orange,N,1/18/18,not detected,not detected,2/8/18,2/14/18,2/6/18,29/10/16,,,
65,65,195357,Miracle,Madera,10/18/16,SMB-1610-32,nasal,orange,N,1/18/18,3.8,0.614,2/8/18,2/14/18,2/6/18,22/10/16,,,
66,66,195356,Michelle,Madera,10/18/16,SMB-1610-33,nasal,orange,N,1/18/18,0.0186,not detected,2/8/18,2/14/18,2/6/18,26/10/16,,Adopted as of 28/10/16,
67,67,195350,Lil Guy,Madera,10/18/16,SMB-1610-34,nasal,orange,N,1/18/18,0.0556,not detected,2/8/18,2/14/18,2/6/18,22/10/16,,,
68,68,195353,Blue/Osborne,Madera,10/18/16,SMB-1610-35,nasal,orange,N,1/18/18,0.0394,not detected,2/8/18,2/14/18,2/6/18,,,Same number for Blue/Osborne? Same dog?? Also see 195360; Adopted as of 25/10/16,
69,69,195360,Osborne,Madera,10/18/16,SMB-1610-36,nasal,orange,N,1/18/18,1.46,1.12,2/8/18,2/14/18,2/6/18,,,Adopted as of 28/10/16,
70,70,195321,Cadillac,Fresno,10/18/16,SMB-1610-37,nasal,orange,N,1/18/18,not detected,not detected,2/8/18,2/14/18,2/6/18,22/10/16,,Adopted as of 25/10/16,
71,71,195330,Ashley,Fresno,10/18/16,SMB-1610-13,nasal,orange,N,1/19/18,0.0278,not detected,2/8/18,2/14/18,2/6/18,22/10/16,,,
72,72,195331,Mary Kate,Fresno,10/18/16,SMB-1610-14,nasal,orange,N,1/19/18,0.032,not detected,2/8/18,2/14/18,2/6/18,22/10/16,,,
73,73,195310,Griffith,Fresno,10/18/16,SMB-1610-15,nasal,orange,N,1/19/18,0.0978,not detected,2/8/18,2/14/18,2/6/18,22/10/16,,,
74,74,,,PBS,,SMB-1610-16,,,N,1/19/18,not detected,not detected,,,,,,,
75,75,195319,Squeak,Fresno,10/18/16,SMB-1610-17,nasal,orange,N,1/19/18,0.864,2.36,2/8/18,2/14/18,2/6/18,28/10/16,,,
76,76,195314,Pepe/MJ,Fresno,10/18/16,SMB-1610-21,nasal,orange,N,1/19/18,0.0572,not detected,2/8/18,2/14/18,2/6/18,22/10/16,litter B (mom unknown); new /adoptive name is MJ,Adopted as of 25/10/16,
77,77,195316,Bonita,Fresno,10/18/16,SMB-1610-22,nasal,orange,N,1/19/18,0.094,not detected,2/8/18,2/14/18,2/6/18,22/10/16,litter B (mom unknown),Adopted as of 25/10/16,
78,78,195352,Bismark,Madera,10/18/16,SMB-1610-24,nasal,orange,N,1/19/18,2.4,2.38,2/8/18,2/14/18,2/6/18,28/10/16,,,
79,79,195354,Kaine,Madera,10/18/16,SMB-1610-25,nasal,orange,N,1/19/18,0.043,not detected,2/8/18,2/14/18,2/6/18,21/10/16,,,
80,80,195333,Monte,Fresno,10/18/16,SMB-1610-26,nasal,orange,N,1/19/18,0.161,0.76,2/8/18,2/14/18,2/6/18,21/10/16,,,
81,81,195656,Freda,OHS?,10/28/16,SMB-1610-280,nasal,orange,N,2/1/18,not detected,not detected,3/27/18,4/30/18,3/19/18,,,,
82,82,195352,Bismark,OHS?,10/28/16,SMB-1610-281,nasal,orange,Y,2/1/18,1.26,0.4,3/27/18,4/30/18,3/19/18,28/10/16,Kennel cough; confirm fill date,,
83,83,195635,Sally,OHS?,10/28/16,SMB-1610-282,nasal,orange,Y,2/1/18,9.24,1.55,3/27/18,4/30/18,3/19/18,,Kennel cough; confirm fill date,,
84,84,195634,Nala,OHS?,10/28/16,SMB-1610-283,nasal,orange,N,2/1/18,not detected,not detected,3/27/18,4/30/18,3/19/18,30/10/16,,,
85,85,195673,Victoria,OHS?,10/28/16,SMB-1610-284,nasal,orange,N,2/1/18,not detected,not detected,3/27/18,4/30/18,3/19/18,30/10/16,,,
86,86,195673,Victoria,OHS?,10/28/16,SMB-1610-333,rectal,blue,N,2/1/18,0.141,not detected,,,,30/10/16,,,
87,87,195634,Nala,OHS?,10/28/16,SMB-1610-334,rectal,blue,N,2/1/18,0.173,not detected,,,,30/10/16,,,
88,88,195635,Sally,OHS?,10/28/16,SMB-1610-335,rectal,blue,Y,2/1/18,0.0998,not detected,,,,,Kennel cough; confirm fill date,,
89,89,195352,Bismark,OHS?,10/28/16,SMB-1610-336,rectal,blue,Y,2/1/18,0.0348,not detected,,,,28/10/16,Kennel cough; confirm fill date,,
90,90,195656,Freda,OHS?,10/28/16,SMB-1610-337,rectal,blue,N,2/1/18,1.94,not detected,,,,,,,
91,91,,Liz,OHS,1/11/16,SMB-1610-179,control,green,N,3/13/18,not detected,not detected,3/27/18,4/30/18,3/19/18,,Liz airdog,,
92,92,,Liz,OHS,1/11/16,SMB-1610-180,control,green,N,3/13/18,0.018,not detected,3/27/18,4/30/18,3/19/18,,Liz airdog,,
93,93,,Rhea,OHS,1/11/16,SMB-1610-181,control,green,N,3/13/18,not detected,not detected,3/27/18,4/30/18,3/19/18,,Rhea airdog,,
94,94,195349,Tiny,OHS,1/11/16,SMB-1610-362,nasal,orange,Y,3/13/18,0.382,not detected,,,,,Kennel cough,,
95,95,195360,Osborne,OHS,1/11/16,SMB-1610-363,nasal,orange,N,3/13/18,0.109,not detected,,,,,,,
96,96,195635,Sally,OHS,1/11/16,SMB-1610-364,nasal,orange,Y,3/13/18,0.0236,not detected,,,,,Kennel cough,,
97,97,195636,Lyza,OHS,1/11/16,SMB-1610-365,nasal,orange,N,3/13/18,0.024,not detected,,,,,,,
98,98,195637,KoKo,OHS,1/11/16,SMB-1610-366,nasal,orange,Y,3/13/18,0.108,not detected,,,,,Kennel cough,,
99,99,195646,Quiggly,OHS,1/11/16,SMB-1610-367,nasal,orange,Y,3/13/18,too high (out of range),1.91,,,,,Kennel cough,,
100,100,195667,Emile,OHS,1/11/16,SMB-1610-371,nasal,orange,Y,3/13/18,1.62,not detected,,,,,Kennel cough,Being treated for eyes,
101,101,,PBS,OHS,10/21/16,SMB-1610-157,control,green,N,3/4/18,not detected,not detected,3/27/18,4/30/18,3/19/18,,PBS,Verify date 21/10/16?,
102,102,,PBS,OHS,10/21/16,SMB-1610-158,control,green,N,3/4/18,not detected,not detected,3/27/18,4/30/18,3/19/18,,PBS,Verify date 21/10/16?,
103,103,,PBS,OHS,1/11/16,SMB-1610-183,control,green,N,3/4/18,not detected,not detected,3/27/18,4/30/18,3/19/18,,PBS,,
104,104,,PBS,OHS,1/11/16,SMB-1610-184,control,green,N,3/4/18,not detected,not detected,3/27/18,4/30/18,3/19/18,,PBS,,
105,105,195672,Dixie,Merced,10/25/16,SMB-1610-252,nasal,orange,N,3/4/18,not detected,not detected,3/27/18,4/30/18,3/19/18,29/10/16,,,
106,106,195650,Ida Mae,OHS?,10/28/16,SMB-1610-278,nasal,orange,N,3/4/18,1.19,0.588,3/27/18,4/30/18,3/19/18,29/10/16,,,
107,107,195648,Guapa,OHS,1/11/16,SMB-1610-368,nasal,orange,N,3/4/18,0.19,not detected,,,,,Being treated for P.O.,,
108,108,195656,Freda,OHS,1/11/16,SMB-1610-369,nasal,orange,N,3/4/18,0.171,not detected,,,,,,,
109,109,195660,Buster,OHS,1/11/16,SMB-1610-370,nasal,orange,Y,3/4/18,5.64,1.62,,,,,Kennel cough,Being treated for KC (meds),
110,110,,,PBS,,PBS blank,,,N,3/4/18,not detected,not detected,,,,,,,
111,111,194777,Buttons,OHS,10/18/16,SMB-1610-3,nasal,orange,N,3/15/18,0.0126,not detected,3/27/18,4/30/18,3/19/18,20/10/16,lived with 194775,Adopted as of 25/10/16,
112,112,194775,Baby,OHS,10/18/16,SMB-1610-4,nasal,orange,N,3/15/18,0.105,not detected,3/27/18,4/30/18,3/19/18,20/10/16,lived with 194777,Adopted as of 25/10/16,
113,113,195325,Corvette,Fresno,10/18/16,SMB-1610-8,nasal,orange,N,3/15/18,1.88,0.592,3/27/18,4/30/18,3/19/18,21/10/16,litter A (mom 195321),Adopted as of 25/10/16,
114,114,,Rhea,OHS,10/18/16,SMB-1610-147,control,green,N,3/15/18,0.0138,not detected,3/27/18,4/30/18,3/19/18,,Rhea airdog,,
115,115,,Ben,OHS,10/18/16,SMB-1610-148,control,green,N,3/15/18,0.0132,not detected,3/27/18,4/30/18,3/19/18,,Ben airdog,,
116,116,,Liz,OHS,10/21/16,SMB-1610-160,control,green,N,3/15/18,not detected,not detected,3/27/18,4/30/18,3/19/18,,Liz airdog,Verify date 21/10/16?,
117,117,,,PBS,,SMB-1610-168,,,N,3/15/18,not detected,not detected,,,,,,,
118,118,,,PBS,,SMB-1610-169,,,N,3/15/18,not detected,not detected,,,,,,,
119,119,,,PBS,,SMB-1610-170,,,N,3/15/18,not detected,not detected,,,,,,,
120,120,,,PBS,,PBS blank,,,N,3/15/18,not detected,not detected,,,,,,,
121,121,195322,Jaguar,Fresno,10/18/16,SMB-1610-9,nasal,orange,N,3/15/18,0.084,not detected,3/27/18,4/30/18,3/19/18,21/10/16,litter A (mom 195321),Adopted as of 25/10/16,
122,122,195311,Penn,Fresno,10/18/16,SMB-1610-38,nasal,orange,N,3/15/18,0.0324,not detected,3/27/18,4/30/18,3/19/18,22/10/16,,,
123,123,,PBS,OHS,10/18/16,SMB-1610-149,control,green,N,3/15/18,not detected,not detected,3/27/18,4/30/18,3/19/18,,PBS,,
124,124,,PBS,OHS,10/18/16,SMB-1610-150,control,green,N,3/15/18,not detected,not detected,3/27/18,4/30/18,3/19/18,,PBS,,
125,125,,,PBS,,SMB-1610-165,,,N,3/15/18,not detected,not detected,,,,,,,
126,126,,,PBS,,SMB-1610-166,,,N,3/15/18,not detected,not detected,,,,,,,
127,127,,,PBS,,SMB-1610-167,,,N,3/15/18,not detected,not detected,,,,,,,
128,128,,Rhea,OHS,1/11/16,SMB-1610-185,control,green,N,3/15/18,not detected,not detected,3/27/18,4/30/18,3/19/18,,Rhea airdog,,
129,129,195668,Carla/Calla,OHS,1/11/16,SMB-1610-372,nasal,orange,N,3/15/18,0.55,not detected,,,,,,,
130,130,,,PBS,,PBS blank,,,N,3/15/18,not detected,not detected,,,,,,,
131,131,195348,Mort/Kobe,Madera,10/18/16,SMB-1610-27,nasal,orange,N,3/16/18,0.0188,not detected,3/27/18,4/30/18,3/19/18,21/10/16,,,
132,132,195349,Tiny,Madera,10/18/16,SMB-1610-39,nasal,orange,N,3/16/18,0.0578,not detected,3/27/18,4/30/18,3/19/18,,,,
133,133,195358,Dunkin/Duncan,Madera,10/18/16,SMB-1610-40,nasal,orange,N,3/16/18,Too high for assay (dilute),1.83,3/27/18,4/30/18,3/19/18,21/10/16,,Adopted as of 25/10/16,
134,134,195309,Freddy,Fresno,10/18/16,SMB-1610-41,nasal,orange,N,3/16/18,0.146,not detected,3/27/18,4/30/18,3/19/18,23/10/16,,,
135,135,195312,Teller,Fresno,10/18/16,SMB-1610-43,nasal,orange,N,3/16/18,0.088,not detected,3/27/18,4/30/18,3/19/18,22/10/16,,,
136,136,195672,Dixie,OHS?,10/28/16,SMB-1610-277,nasal,orange,N,3/16/18,0.022,not detected,3/27/18,4/30/18,3/19/18,29/10/16,,,
137,137,195669,Abigail2,OHS?,10/28/16,SMB-1610-279,nasal,orange,N,3/16/18,0.0962,0.4,3/27/18,4/30/18,3/19/18,29/10/16,See Abigail 1: 195351,,
138,138,,PBS,OHS,10/28/16,SMB-1610-173,control,green,N,3/16/18,not detected,not detected,3/27/18,4/30/18,3/19/18,,PBS,,
139,139,,PBS,OHS,10/28/16,SMB-1610-174,control,green,N,3/16/18,not detected,not detected,3/27/18,4/30/18,3/19/18,,PBS,,
140,140,,,PBS,,PBS extraction blank,,green,N,3/16/18,not detected,not detected,,,,,,,
141,141,,Rhea,OHS,10/18/16,SMB-1610-145,control,green,N,3/28/18,not detected,not detected,3/27/18,4/30/18,3/19/18,,Rhea airdog,,
142,142,,Ben,OHS,10/18/16,SMB-1610-146,control,green,N,3/28/18,not detected,not detected,3/27/18,4/30/18,3/19/18,,Ben airdog,,
143,143,,Liz,OHS,10/21/16,SMB-1610-159,control,green,N,3/28/18,not detected,not detected,3/27/18,4/30/18,3/19/18,,Liz airdog,Verify date 21/10/16?,
144,144,,Ben,OHS,10/21/16,SMB-1610-161,control,green,N,3/28/18,not detected,not detected,3/27/18,4/30/18,3/19/18,,Ben airdog,Verify date 21/10/16?,
146,146,,,PBS,,SMB-1610-163,,green,N,3/28/18,not detected,not detected,,,,,,,
147,147,,,PBS,,SMB-1610-164,,green,N,3/28/18,not detected,not detected,,,,,,,
148,148,,Ben,OHS,10/28/16,SMB-1610-175,control,green,N,3/28/18,not detected,not detected,3/27/18,4/30/18,3/19/18,,Ben airdog,,
149,149,,Liz,OHS,10/28/16,SMB-1610-177,control,green,N,3/28/18,not detected,not detected,3/27/18,4/30/18,3/19/18,,Liz airdog,,
150,150,,,PBS,,PBS extraction blank,,green,N,3/28/18,not detected,not detected,,,,,,,
145b,145b,,Ben,OHS,10/21/16,SMB-1610-162,control,green,N,3/28/18,not detected,not detected,3/27/18,4/30/18,3/19/18,,Ben airdog,Verify date 21/10/16?,
,,194753,Maximillion/Max,OHS,10/18/16,SMB-1610-1,nasal,orange,Y,,,,,,,,barely in nose; Kennel cough,is this really Maximillion? Aka Max with kennel cough? Info in Notes and Resp Infection columns pertains to Max in kennel 4 not Max in kennel 23,used for resp panel and extracted on Feb 1 2017
,,195326,Mercury/Yugo,Fresno,10/18/16,SMB-1610-5,nasal,orange,N,,,,,,,21/10/16,litter A (mom 195321),Adopted as of 25/10/16,"sent to CGRB December 9, 2016"
,,195328,Porshe,Fresno,10/18/16,SMB-1610-6,nasal,orange,N,,,,,,,21/10/16,litter A (mom 195321),Adopted as of 25/10/16,extra sample for CGRB-used week of DECEMBER 12 2016
,,195329,Audi,Fresno,10/18/16,SMB-1610-7,nasal,orange,N,,,,,,,21/10/16,litter A (mom 195321),Adopted as of 25/10/16,extracted and destroyed by Ben Jan 4 
,,195320,Pip,Fresno,10/18/16,SMB-1610-10,nasal,orange,N,,,,,,,23/10/16,,,"Extracted Jan 23-24, 2017; submitted to CGRB"
,,195334,Ellie,Fresno,10/18/16,SMB-1610-11,nasal,orange,N,,,,,,,21/10/16,,,"Extracted Jan 23-24, 2017; submitted to CGRB"
,,195317,Beaux,Fresno,10/18/16,SMB-1610-12,nasal,orange,N,,,,,,,21/10/16,,,"Extracted Jan 23-24, 2017; submitted to CGRB"
,,195313,Juanito,Fresno,10/18/16,SMB-1610-18,nasal,orange,N,,,,,,,22/10/16,litter B (mom unknown),Adopted as of 25/10/16,"sent to CGRB December 9, 2016"
,,195315,Chiquita,Fresno,10/18/16,SMB-1610-19,nasal,orange,N,,,,,,,22/10/16,litter B (mom unknown),Adopted as of 25/10/16,extra sample for CGRB-used week of DECEMBER 12 2016
,,195318,Flower,Fresno,10/18/16,SMB-1610-20,nasal,orange,N,,,,,,,22/10/16,,Adopted as of 25/10/16,"Extracted Jan 23-24, 2017; submitted to CGRB"
,,195359,Stitch,Madera,10/18/16,SMB-1610-23,nasal,orange,N,,,,,,,23/10/16,,Adopted as of 25/10/16,extracted and destroyed by Ben Jan 4 
,,194753,Maximillion/Max,OHS,10/18/16,SMB-1610-73,rectal,blue,Y,,,,,,,,Kennel cough,Is this really Maximillion? Aka Max with kennel cough? Info in Notes and Resp Infection columns pertains to Max in kennel 4 not Max in kennel 23,
,,195227,Mikey,OHS,10/18/16,SMB-1610-74,rectal,blue,N,,,,,,,20/10/16,,,
,,194777,Buttons,OHS,10/18/16,SMB-1610-75,rectal,blue,N,,,,,,,,lived with 194775,Adopted as of 25/10/16,
,,194775,Baby,OHS,10/18/16,SMB-1610-76,rectal,blue,N,,,,,,,,lived with 194777,Adopted as of 25/10/16,
,,195326,Mercury/Yugo,Fresno,10/18/16,SMB-1610-77,rectal,blue,N,,,,,,,21/10/16,litter A (mom 195321),Adopted as of 25/10/16,"sent to CGRB December 9, 2016"
,,195328,Porshe,Fresno,10/18/16,SMB-1610-78,rectal,blue,N,,,,,,,21/10/16,litter A (mom 195321),Adopted as of 25/10/16,extra sample for CGRB-used week of DECEMBER 12 2016
,,195329,Audi,Fresno,10/18/16,SMB-1610-79,rectal,blue,N,,,,,,,21/10/16,litter A (mom 195321),Adopted as of 25/10/16,extracted and destroyed by Ben Jan 4 
